time_ms,SO2_pptv,off_cts_norm,on_cts_norm,off_lsr_pwr_V,on_lsr_pwr_V
3734765941124.0,0.0,0.0,0.0,55.0,59.57142857142857
3734765941224.0,0.0,0.0,0.0,59.5,60.42857142857143
3734765941324.0,0.0,0.0,0.0,57.5,60.714285714285715
3734765941424.0,0.0,0.0,0.0,64.0,62.42857142857143
3734765941524.0,0.0,0.0,0.0,65.0,60.857142857142854
3734765941624.0,0.0,0.0,0.0,55.5,60.142857142857146
3734765941724.0,0.0,0.0,0.0,53.5,57.42857142857143
3734765941824.0,0.0,0.0,0.0,66.5,57.142857142857146
3734765941924.0,0.0,0.0,0.0,61.0,60.42857142857143
3734765942024.0,0.0,0.0,0.0,54.0,54.142857142857146
3734765942124.0,0.0,0.0,0.0,51.0,55.285714285714285
3734765942224.0,0.0,0.0,0.0,60.0,59.285714285714285
3734765942324.0,0.0,0.0,0.0,61.0,58.285714285714285
3734765942424.0,0.0,0.0,0.0,64.5,61.42857142857143
3734765942524.0,0.0,0.0,0.0,61.5,64.85714285714286
3734765942624.0,0.0,0.0,0.0,59.0,55.57142857142857
3734765942724.0,0.0,0.0,0.0,67.0,59.0
3734765942824.0,0.0,0.0,0.0,59.5,55.857142857142854
3734765942924.0,0.0,0.0,0.0,56.0,58.142857142857146
3734765943024.0,0.0,0.0,0.0,57.0,57.857142857142854
3734765943124.0,0.0,0.0,0.0,57.5,61.285714285714285
3734765943224.0,0.0,0.0,0.0,57.5,61.285714285714285
3734765943324.0,0.0,0.0,0.0,61.0,61.57142857142857
3734765943424.0,0.0,0.0,0.0,58.0,59.0
3734765943524.0,0.0,0.0,0.0,65.0,60.42857142857143
3734765943624.0,0.0,0.0,0.0,56.0,59.285714285714285
3734765943724.0,0.0,0.0,0.0,63.0,60.857142857142854
3734765943824.0,0.0,0.0,0.0,64.5,59.42857142857143
3734765943924.0,0.0,0.0,0.0,63.0,58.285714285714285
3734765944024.0,0.0,0.0,0.0,60.5,58.142857142857146
3734765944124.0,0.0,0.0,0.0,64.0,56.42857142857143
3734765944224.0,0.0,0.0,0.0,58.5,54.714285714285715
3734765944324.0,0.0,0.0,0.0,56.0,59.142857142857146
3734765944424.0,0.0,0.0,0.0,57.0,62.857142857142854
3734765944524.0,0.0,0.0,0.0,66.0,58.857142857142854
3734765944624.0,0.0,0.0,0.0,59.0,56.714285714285715
3734765944724.0,0.0,0.0,0.0,66.0,59.42857142857143
3734765944824.0,0.0,0.0,0.0,54.0,57.142857142857146
3734765944924.0,0.0,0.0,0.0,61.5,58.714285714285715
3734765945024.0,0.0,0.0,0.0,64.5,63.857142857142854
3734765945124.0,0.0,0.0,0.0,56.0,61.285714285714285
3734765945224.0,0.0,0.0,0.0,61.0,56.714285714285715
3734765945324.0,0.0,0.0,0.0,61.5,57.285714285714285
3734765945424.0,0.0,0.0,0.0,64.5,55.285714285714285
3734765945524.0,0.0,0.0,0.0,61.0,55.857142857142854
3734765945624.0,0.0,0.0,0.0,58.5,60.857142857142854
3734765945724.0,0.0,0.0,0.0,61.0,57.285714285714285
3734765945824.0,0.0,0.0,0.0,53.0,60.57142857142857
3734765945924.0,0.0,0.0,0.0,57.5,57.714285714285715
3734765946024.0,0.0,0.0,0.0,54.0,60.857142857142854
3734765946124.0,0.0,0.0,0.0,53.0,62.285714285714285
3734765946224.0,0.0,0.0,0.0,55.0,58.57142857142857
3734765946324.0,0.0,0.0,0.0,56.0,58.857142857142854
3734765946424.0,0.0,0.0,0.0,59.0,58.285714285714285
3734765946524.0,0.0,0.0,0.0,59.0,57.285714285714285
3734765946624.0,0.0,0.0,0.0,52.5,57.285714285714285
3734765946724.0,0.0,0.0,0.0,56.0,53.0
3734765946824.0,0.0,0.0,0.0,59.0,54.857142857142854
3734765946924.0,0.0,0.0,0.0,56.0,60.285714285714285
3734765947024.0,0.0,0.0,0.0,57.5,60.42857142857143
3734765947124.0,0.0,0.0,0.0,54.5,55.42857142857143
3734765947224.0,0.0,0.0,0.0,60.5,56.857142857142854
