time_ms,SO2_pptv,off_cts_norm,on_cts_norm,off_lsr_pwr_V,on_lsr_pwr_V
3734785940234.0,24106607.59753207,47419.16125489047,315270.35678302456,109425.0,112791.28571428571
3734785940334.0,25469589.182077873,48609.13342269855,331604.56877911935,108447.5,111935.0
3734785940434.0,25259712.13541928,47975.16716381267,328638.635335138,108945.0,112049.57142857143
3734785940534.0,25180156.012249,46806.157900696795,326585.66914790793,110276.0,112583.28571428571
3734785940634.0,24221539.78834927,45742.587078228345,314870.80694877583,110481.0,112915.85714285714
3734785940734.0,24220561.707727093,47270.81488792401,316388.16719600285,109336.5,112492.57142857143
3734785940834.0,24938264.9385988,48717.11940315974,325808.95205425756,108754.5,112301.28571428571
3734785940934.0,24080487.03429006,48797.03675574929,316358.0038034167,107637.0,111195.42857142857
3734785941034.0,25105815.072206333,45752.692755567674,324706.1935578603,109842.5,112201.0
3734785941134.0,24741909.037188925,45861.160116035375,320771.26052924566,110245.0,112655.14285714286
3734785941234.0,22956831.68918614,47553.387723242166,302629.295380866,107723.0,112890.0
3734785941334.0,23962800.205528196,48676.448875301896,314929.78449228185,108804.5,112372.14285714286
3734785941434.0,24867923.87691396,48171.22168745531,324481.48698649934,108327.5,111787.14285714286
3734785941534.0,24746057.454880662,47772.07293066116,322728.2668737796,109283.5,111430.71428571429
3734785941634.0,23968992.850005183,45298.74376675977,311620.8865445951,110315.5,112496.28571428571
3734785941734.0,24059994.988965392,47157.888047499335,314491.16570267035,109661.5,113269.71428571429
3734785941834.0,24595525.298619635,48079.20025986864,321362.81468897575,108616.0,112690.0
3734785941934.0,25079527.151733536,47320.84979531377,325982.2625923531,110011.5,112398.28571428571
3734785942034.0,25219706.97240904,45794.788693469745,326013.7550535702,110182.5,112446.28571428571
3734785942134.0,24140261.703281134,46918.83079401488,315143.960830472,109496.0,112703.57142857143
3734785942234.0,25043210.483286176,49113.005806275956,327370.9000650112,109820.0,112750.0
3734785942334.0,24260638.4055415,47290.30056597562,316852.94951643667,109581.5,113547.42857142857
3734785942434.0,24579204.511151966,45991.48765136161,319093.7599974946,109087.5,111987.42857142857
3734785942534.0,24538274.357380792,46273.50805325594,318921.0009130425,108699.5,111298.57142857143
3734785942634.0,24507994.237497807,48513.151290214264,320824.19837352325,108700.0,111882.42857142857
3734785942734.0,24326871.63312667,46716.75620045232,317015.3299018598,109659.5,112587.57142857143
3734785942834.0,24193451.394749533,47864.57798443738,316680.7045927656,109176.5,112720.14285714286
3734785942934.0,25291609.49716952,48411.499922077404,329429.383223961,108498.0,112078.28571428571
3734785943034.0,25260632.37744473,44771.701202022115,325445.3942847413,108502.5,111702.42857142857
3734785943134.0,24336580.203691006,47174.503991383295,317580.95069906116,108768.5,111888.42857142857
3734785943234.0,24243336.231232546,46786.23612311798,316156.63869236846,109404.5,113016.14285714286
3734785943334.0,23659203.145687807,47061.88712240992,309941.9220744967,110349.5,113553.42857142857
3734785943434.0,24369411.54300739,47787.8095932916,318559.0489600404,109535.0,112825.85714285714
3734785943534.0,24635094.55979394,46504.97883056633,320228.2517171657,109386.0,111926.0
3734785943634.0,23602969.55852711,47793.61015130951,310048.8274682774,109503.5,112294.28571428571
3734785943734.0,24435955.31061611,46986.92571022267,318497.54027262394,110641.5,112717.0
3734785943834.0,24559455.166664936,47309.945081323356,320192.7802664893,110558.5,113535.85714285714
3734785943934.0,25200850.35471798,46986.31762864415,326995.76601439953,110033.0,112926.14285714286
3734785944034.0,24394690.226582848,47462.22697488501,318514.3406035833,108894.5,112176.85714285714
3734785944134.0,23756468.87134783,48527.165117898694,312487.9303550968,109572.0,112137.0
3734785944234.0,24956288.05131546,47878.56305069497,325170.65250975563,109657.5,112896.42857142857
3734785944334.0,24451870.211560242,45804.95119242853,317492.3979875423,110999.5,113270.57142857143
3734785944434.0,25066086.775157157,45195.01895372951,323707.09423325345,109935.0,112966.85714285714
3734785944534.0,24950841.9819516,48635.08588349185,325866.6634607319,108676.0,112857.71428571429
3734785944634.0,24703178.443301804,46561.37649682729,321041.13697795843,108974.5,111843.14285714286
3734785944734.0,24602951.486241356,48837.40130792158,322203.52893282555,109312.0,111972.28571428571
3734785944834.0,24249889.752861284,48611.427858910196,318054.64733514667,110225.5,112353.14285714286
3734785944934.0,24516891.95206197,47103.87506767492,319513.7856461412,109804.0,113046.0
3734785945034.0,24322628.282356806,46768.52234707402,317019.9477065941,109087.5,112464.14285714286
3734785945134.0,24432546.16221593,49485.11070890217,320957.84584463475,107683.5,111548.0
3734785945234.0,25913826.13464959,45301.4995946736,333232.90109078016,108551.5,111422.42857142857
3734785945334.0,24432812.9931397,47992.32385180559,319468.02377558005,110043.5,112380.71428571429
3734785945434.0,24859137.783326328,45966.94060925294,322179.5826462122,110273.5,113051.57142857143
3734785945534.0,24958965.65223462,46743.607776772726,324065.4483571574,108669.5,111945.85714285714
3734785945634.0,24185686.90543279,48434.383390828036,317164.2378956368,109422.5,111883.0
3734785945734.0,24572234.01812657,46665.99442411005,319690.81684773864,108903.5,111598.42857142857
3734785945834.0,24444033.30938217,46455.047429815284,318055.41753406165,110730.0,112920.28571428571
3734785945934.0,24738447.042470437,48101.6921911807,322973.32599640783,110966.5,113022.57142857143
3734785946034.0,25429309.65566477,45691.44813812759,328239.3332010695,111126.5,113380.14285714286
3734785946134.0,24276187.690498818,48723.11910572552,318458.5378890458,110156.5,113065.57142857143
3734785946234.0,24940288.769776274,49160.29840291158,326274.61806709244,109558.0,112014.71428571429
3734785946334.0,24821609.690241974,45253.38313002385,321049.0463549347,110636.0,112481.14285714286
3734785946434.0,23726126.96935054,46602.190212803456,310225.8232055873,111186.0,113189.28571428571
3734785946534.0,24093255.22494887,44521.39213211671,312224.2279648819,110349.0,113297.42857142857
3734785946634.0,24706544.289206967,48042.204003468665,322559.362772435,108378.5,112247.28571428571
3734785946734.0,24356962.78257155,49406.859683389644,320039.77948974026,108781.5,111122.0
3734785946834.0,24412026.280415997,47587.18265170812,318831.9191007748,110173.0,112296.71428571429
3734785946934.0,24256413.40355587,49023.575679502304,318539.2801634564,110320.5,113251.57142857143
3734785947034.0,24965269.579609137,47131.621356467316,324523.50557434664,110140.5,113282.28571428571
3734785947134.0,24759946.87178108,48742.89208878054,323853.41288634815,110814.5,112540.0
3734785947234.0,25260504.131615758,47616.343858768116,328288.6119878321,109891.0,112012.85714285714
3734785947334.0,25036645.022707492,47712.83350259636,325897.77819934627,109823.5,112547.14285714286
3734785947434.0,24060694.366990227,46120.03715752156,313461.08567963523,110979.0,113167.57142857143
3734785947534.0,24467852.092521604,46553.17339251714,318418.1966427572,110943.0,113466.0
3734785947634.0,24145853.087413207,49041.45969662118,317328.7162234346,109526.5,112351.71428571429
3734785947734.0,24579134.126141954,46790.1326676756,319891.6229581418,109558.5,112105.28571428571
3734785947834.0,24743196.57330057,47713.837120742246,322638.2434907486,109636.5,112325.28571428571
3734785947934.0,25649062.933894563,46878.112988850495,331867.70114323456,111171.0,112607.71428571429
3734785948034.0,25096596.431737266,48232.94361588979,327084.01507963723,111947.0,114017.28571428571
3734785948134.0,23876241.20793546,45226.2121566651,310517.7811337258,110859.5,114023.42857142857
3734785948234.0,24854407.755349427,48652.12841054589,324812.2145810951,109643.0,113266.42857142857
3734785948334.0,24543746.170421064,47194.14472142255,319902.4355038788,109480.5,112195.42857142857
3734785948434.0,24013292.014964323,46680.78918950509,313495.14491133095,109487.0,112317.0
3734785948534.0,24367822.465627685,48458.4375720662,319212.020523485,110228.5,113232.71428571429
3734785948634.0,25774971.97881485,47945.29009411142,334333.86763649865,108646.0,112974.0
3734785948734.0,24682436.31912416,47645.59155259645,321894.8839873093,108668.5,112230.14285714286
3734785948834.0,25125806.280088175,47544.97144950618,326720.59678381926,108320.0,111634.57142857143
3734785948934.0,24786906.336861618,47288.03581709216,322698.1062266657,109167.0,111932.57142857143
3734785949034.0,24636915.47178584,45922.01799662701,319665.5232386919,109635.0,112255.85714285714
3734785949134.0,23851326.010100227,48284.1525424038,313298.88598796184,108423.5,112984.28571428571
3734785949234.0,23816231.054286104,46553.90669653007,311178.6961885979,108711.5,112552.0
3734785949334.0,24919120.33608463,45681.03095927295,322560.1458046577,107952.5,111283.14285714286
3734785949434.0,24793310.926684972,45666.06554629658,321147.29806501855,106893.5,110996.0
3734785949534.0,25006431.177088276,47103.7436065777,324952.97890755854,109045.0,111804.85714285714
3734785949634.0,25162598.33339029,44944.54800875413,324528.973935313,109302.0,112499.71428571429
3734785949734.0,24344820.216977715,48499.19945121462,318997.20186207816,109146.0,112260.42857142857
3734785949834.0,25448657.63617703,47279.31020002246,330042.1728242117,108911.5,111894.57142857143
3734785949934.0,24087488.43218867,48624.75484345417,316263.5152011061,109237.5,111328.85714285714
3734785950034.0,25102667.626133982,46992.37805442054,325910.907233687,109693.0,111716.57142857143
3734785950134.0,24252561.206535775,45058.22366836803,314531.12596320995,110925.0,112806.57142857143
3734785950234.0,25015127.93456735,47073.95269394414,325019.8186335814,110896.0,113375.0
3734785950334.0,24563844.999584574,47848.75783118003,320780.3689376753,108913.0,113333.14285714286
3734785950434.0,24912475.697366416,48510.95462568427,325316.2401519778,110002.0,111907.14285714286
3734785950534.0,24325812.810371976,48497.15417255349,318783.9631766866,109458.0,112869.14285714286
3734785950634.0,24732910.211576197,46757.20414426264,321567.31760622043,111422.0,112812.42857142857
3734785950734.0,24936134.872667827,46605.70993224962,323673.8751841144,110853.5,113191.0
