time_ms,Cts_diff,off_cts_norm,on_cts_norm,off_lsr_pwr_V,on_lsr_pwr_V
3734325352124.0,0.0,0.0,0.0,49.5,59.857142857142854
3734325352224.0,0.0,0.0,0.0,58.0,56.285714285714285
3734325352324.0,0.0,0.0,0.0,65.0,58.285714285714285
3734325352424.0,0.0,0.0,0.0,53.0,54.857142857142854
3734325352524.0,0.0,0.0,0.0,63.0,56.857142857142854
3734325352624.0,0.0,0.0,0.0,62.0,60.714285714285715
3734325352724.0,0.0,0.0,0.0,58.0,55.285714285714285
3734325352824.0,0.0,0.0,0.0,55.0,55.142857142857146
3734325352924.0,0.0,0.0,0.0,52.5,56.57142857142857
3734325353024.0,0.0,0.0,0.0,56.0,55.0
3734325353124.0,0.0,0.0,0.0,59.5,54.142857142857146
3734325353224.0,0.0,0.0,0.0,53.5,56.857142857142854
3734325353324.0,0.0,0.0,0.0,57.0,52.57142857142857
3734325353424.0,0.0,0.0,0.0,60.5,52.57142857142857
3734325353524.0,0.0,0.0,0.0,54.0,54.857142857142854
3734325353624.0,0.0,0.0,0.0,52.5,53.714285714285715
3734325353724.0,0.0,0.0,0.0,57.0,56.0
3734325353824.0,0.0,0.0,0.0,56.5,56.714285714285715
3734325353924.0,0.0,0.0,0.0,56.5,57.42857142857143
3734325354024.0,0.0,0.0,0.0,62.5,58.57142857142857
3734325354124.0,0.0,0.0,0.0,56.5,57.57142857142857
3734325354224.0,0.0,0.0,0.0,57.0,56.714285714285715
3734325354324.0,0.0,0.0,0.0,58.5,55.714285714285715
3734325354424.0,0.0,0.0,0.0,57.5,58.0
3734325354524.0,0.0,0.0,0.0,57.0,56.857142857142854
3734325354624.0,0.0,0.0,0.0,58.0,59.0
3734325354724.0,0.0,0.0,0.0,58.0,58.142857142857146
3734325354824.0,0.0,0.0,0.0,54.0,60.42857142857143
3734325354924.0,0.0,0.0,0.0,55.5,63.857142857142854
3734325355024.0,0.0,0.0,0.0,60.5,58.714285714285715
3734325355124.0,0.0,0.0,0.0,59.5,60.857142857142854
3734325355224.0,0.0,0.0,0.0,58.5,57.285714285714285
3734325355324.0,0.0,0.0,0.0,53.0,56.142857142857146
3734325355424.0,0.0,0.0,0.0,61.0,58.857142857142854
3734325355524.0,0.0,0.0,0.0,56.0,63.42857142857143
3734325355624.0,0.0,0.0,0.0,63.0,57.857142857142854
3734325355724.0,0.0,0.0,0.0,58.0,61.0
3734325355824.0,0.0,0.0,0.0,62.0,58.57142857142857
3734325355924.0,0.0,0.0,0.0,57.0,60.142857142857146
3734325356024.0,0.0,0.0,0.0,57.0,60.857142857142854
3734325356124.0,0.0,0.0,0.0,55.5,61.0
3734325356224.0,0.0,0.0,0.0,58.0,61.57142857142857
3734325356324.0,0.0,0.0,0.0,56.0,58.142857142857146
3734325356424.0,0.0,0.0,0.0,58.0,57.285714285714285
3734325356524.0,0.0,0.0,0.0,57.0,58.142857142857146
3734325356624.0,0.0,0.0,0.0,62.0,61.42857142857143
3734325356724.0,0.0,0.0,0.0,61.0,62.142857142857146
3734325356824.0,0.0,0.0,0.0,61.0,63.142857142857146
3734325356924.0,0.0,0.0,0.0,61.0,61.57142857142857
3734325357024.0,0.0,0.0,0.0,58.5,58.285714285714285
3734325357124.0,0.0,0.0,0.0,59.0,59.57142857142857
3734325357224.0,0.0,0.0,0.0,61.5,62.142857142857146
3734325357324.0,0.0,0.0,0.0,63.5,63.0
3734325357424.0,0.0,0.0,0.0,56.5,59.714285714285715
3734325357524.0,0.0,0.0,0.0,53.0,58.142857142857146
3734325357624.0,0.0,0.0,0.0,67.0,61.857142857142854
3734325357724.0,0.0,0.0,0.0,63.0,61.714285714285715
3734325357824.0,0.0,0.0,0.0,56.0,60.857142857142854
3734325357924.0,0.0,0.0,0.0,61.5,60.857142857142854
3734325358024.0,0.0,0.0,0.0,52.0,61.714285714285715
3734325358124.0,0.0,0.0,0.0,60.5,60.42857142857143
3734325358224.0,0.0,0.0,0.0,63.5,60.285714285714285
3734325358324.0,0.0,0.0,0.0,59.0,61.142857142857146
3734325358424.0,0.0,0.0,0.0,65.5,63.0
3734325358524.0,0.0,0.0,0.0,56.5,63.857142857142854
3734325358624.0,0.0,0.0,0.0,55.0,61.857142857142854
3734325358724.0,0.0,0.0,0.0,61.0,61.142857142857146
3734325358824.0,0.0,0.0,0.0,58.5,58.42857142857143
3734325358924.0,0.0,0.0,0.0,58.0,53.142857142857146
